AnnouncementDate,ChangeDate,DataID,Return,Exposure
1998-11-11 00:00:00,1998-11-17 00:00:00,82.0,-113.1875,9995.8125
1998-11-19 00:00:00,1998-11-23 00:00:00,83.0,659.4082183837891,10006.908218383789
1998-12-10 00:00:00,1998-12-21 00:00:00,84.0,549.8704071044922,10013.625
1998-12-21 00:00:00,1998-12-30 00:00:00,85.0,1089.7856826782227,9993.723182678223
1998-12-10 00:00:00,1998-12-31 00:00:00,86.0,722.75,10013.625
1998-12-22 00:00:00,1998-12-31 00:00:00,87.0,443.5,10058.5625
1998-12-10 00:00:00,1998-12-31 00:00:00,88.0,1938.0,10013.625
1999-01-06 00:00:00,1999-01-12 00:00:00,89.0,422.875,9983.625
1999-02-22 00:00:00,1999-02-26 00:00:00,90.0,-41.52703094482422,10079.910469055176
1999-02-16 00:00:00,1999-03-09 00:00:00,91.0,-386.875,10101.375
1999-03-09 00:00:00,1999-03-24 00:00:00,92.0,186.18690490722656,10020.56607055664
1999-03-26 00:00:00,1999-04-01 00:00:00,93.0,-113.0625,10074.19107055664
1999-04-06 00:00:00,1999-04-09 00:00:00,94.0,386.875,10084.25
1999-04-26 00:00:00,1999-04-30 00:00:00,95.0,297.125,10010.125
1999-05-20 00:00:00,1999-05-27 00:00:00,97.0,381.375,10059.375
1999-05-27 00:00:00,1999-06-03 00:00:00,98.0,-1073.8160705566406,10062.0
1999-06-07 00:00:00,1999-06-08 00:00:00,99.0,70.0,10003.125
1999-06-15 00:00:00,1999-06-21 00:00:00,100.0,-215.0625,10060.5
1999-06-02 00:00:00,1999-06-23 00:00:00,101.0,-235.59727478027344,10062.9375
1999-06-22 00:00:00,1999-06-24 00:00:00,102.0,598.6215209960938,10108.0
1999-06-22 00:00:00,1999-06-29 00:00:00,103.0,136.7109375,9975.0
1999-06-22 00:00:00,1999-06-30 00:00:00,104.0,19.5,9975.0
1999-07-08 00:00:00,1999-07-21 00:00:00,105.0,359.502197265625,10080.0
1999-07-21 00:00:00,1999-07-30 00:00:00,106.0,-632.375,10032.9375
1999-07-21 00:00:00,1999-07-30 00:00:00,107.0,177.1875,10032.9375
1999-07-12 00:00:00,1999-08-06 00:00:00,108.0,191.75,10035.0
1999-08-09 00:00:00,1999-08-12 00:00:00,109.0,228.17422485351562,10000.375
1999-09-13 00:00:00,1999-09-17 00:00:00,110.0,-404.0625,10054.6875
1999-09-22 00:00:00,1999-09-28 00:00:00,111.0,-297.31597900390625,10017.75
1999-09-23 00:00:00,1999-09-30 00:00:00,112.0,1461.625,10092.25
1999-09-20 00:00:00,1999-09-30 00:00:00,113.0,1036.0,10051.0
1999-09-27 00:00:00,1999-10-01 00:00:00,114.0,162.7776336669922,10107.0625
1999-09-23 00:00:00,1999-10-11 00:00:00,115.0,-21.597366333007812,10092.25
1999-10-11 00:00:00,1999-10-12 00:00:00,116.0,-207.09718322753906,9984.375
1999-10-14 00:00:00,1999-10-15 00:00:00,117.0,175.875,10080.0
1999-09-29 00:00:00,1999-10-25 00:00:00,118.0,-35.0,10067.5625
1999-10-25 00:00:00,1999-10-26 00:00:00,119.0,-123.0625,10024.4375
1999-11-01 00:00:00,1999-11-04 00:00:00,120.0,324.875,10061.690887451172
1999-11-02 00:00:00,1999-11-05 00:00:00,121.0,234.1875,10064.0
1999-11-08 00:00:00,1999-11-12 00:00:00,122.0,958.625,10110.5
1999-11-29 00:00:00,1999-11-30 00:00:00,124.0,619.0177917480469,9993.25
1999-11-29 00:00:00,1999-12-01 00:00:00,126.0,24.402999877929688,9993.25
1999-11-30 00:00:00,1999-12-07 00:00:00,127.0,4909.8125,9891.1875
1999-12-21 00:00:00,1999-12-30 00:00:00,128.0,1078.9083862304688,10053.75
1999-12-21 00:00:00,2000-01-03 00:00:00,130.0,675.25,10053.75
1999-12-29 00:00:00,2000-01-05 00:00:00,131.0,-635.5,10004.5
2000-01-24 00:00:00,2000-01-28 00:00:00,132.0,-444.5177917480469,9976.607208251953
2000-01-24 00:00:00,2000-01-28 00:00:00,133.0,1621.3572082519531,9976.607208251953
2000-01-26 00:00:00,2000-01-28 00:00:00,134.0,-111.71549987792969,10070.90950012207
2000-03-08 00:00:00,2000-03-15 00:00:00,135.0,-313.9375,10019.25
2000-03-27 00:00:00,2000-03-31 00:00:00,136.0,-2057.25,9982.5
2000-03-27 00:00:00,2000-03-31 00:00:00,137.0,-152.4375,9982.5
2000-04-12 00:00:00,2000-04-17 00:00:00,138.0,-26.12188720703125,10027.878112792969
2000-05-03 00:00:00,2000-05-04 00:00:00,139.0,1185.0625,10082.0
2000-05-01 00:00:00,2000-05-04 00:00:00,140.0,436.02886962890625,10039.5
2000-05-02 00:00:00,2000-05-09 00:00:00,141.0,-330.2505645751953,9936.0
2000-05-26 00:00:00,2000-05-31 00:00:00,142.0,162.5,10080.0
2000-05-25 00:00:00,2000-06-02 00:00:00,143.0,1510.2467041015625,9994.5
2000-06-05 00:00:00,2000-06-07 00:00:00,144.0,-1195.2989807128906,10117.125
2000-06-05 00:00:00,2000-06-12 00:00:00,145.0,-516.75,10117.125
2000-06-13 00:00:00,2000-06-16 00:00:00,148.0,-283.37811279296875,10081.0
2000-06-15 00:00:00,2000-06-16 00:00:00,149.0,-180.12811279296875,10085.25
2000-06-13 00:00:00,2000-06-20 00:00:00,150.0,109.0,10081.0
2000-05-25 00:00:00,2000-06-20 00:00:00,151.0,3420.375,9994.5
2000-06-21 00:00:00,2000-06-28 00:00:00,152.0,-354.875,10034.25
2000-06-21 00:00:00,2000-06-28 00:00:00,153.0,-1189.1875,10034.25
2000-06-19 00:00:00,2000-06-30 00:00:00,154.0,3388.8718872070312,10076.75
2000-06-26 00:00:00,2000-07-05 00:00:00,155.0,907.5489807128906,10072.92398071289
2000-07-06 00:00:00,2000-07-12 00:00:00,156.0,190.5,9974.75
2000-07-06 00:00:00,2000-07-14 00:00:00,157.0,342.6875,10121.4375
2000-07-19 00:00:00,2000-07-26 00:00:00,158.0,821.875,10132.0
2000-07-20 00:00:00,2000-07-27 00:00:00,159.0,-687.25,10033.25
2000-08-07 00:00:00,2000-08-18 00:00:00,160.0,-272.5625,10030.0
2000-08-23 00:00:00,2000-08-29 00:00:00,161.0,-72.84274291992188,9976.315521240234
2000-09-25 00:00:00,2000-09-29 00:00:00,162.0,1812.5,10106.25
2000-09-25 00:00:00,2000-10-02 00:00:00,163.0,-535.3469085693359,9961.875
2000-09-26 00:00:00,2000-10-02 00:00:00,164.0,1177.6842956542969,10049.375
2000-09-27 00:00:00,2000-10-02 00:00:00,165.0,1206.0592956542969,10023.125
2000-10-03 00:00:00,2000-10-17 00:00:00,166.0,475.75,10001.25
2000-10-12 00:00:00,2000-10-20 00:00:00,167.0,1751.8547897338867,10103.25
2000-10-31 00:00:00,2000-11-01 00:00:00,168.0,-204.0345001220703,10099.75
2000-10-25 00:00:00,2000-11-01 00:00:00,169.0,-79.59709167480469,10010.125
2000-10-16 00:00:00,2000-11-03 00:00:00,170.0,2061.6529083251953,10105.9375
2000-11-14 00:00:00,2000-11-21 00:00:00,172.0,251.625,10012.5
2000-11-20 00:00:00,2000-11-22 00:00:00,173.0,705.4866638183594,10115.625
2000-11-27 00:00:00,2000-11-30 00:00:00,174.0,-993.66943359375,9999.25
2000-12-01 00:00:00,2000-12-04 00:00:00,176.0,-245.80263900756836,10022.5
2000-12-04 00:00:00,2000-12-08 00:00:00,177.0,-334.237060546875,10115.625
2000-11-29 00:00:00,2000-12-08 00:00:00,178.0,1977.7939453125,10070.0
2000-12-04 00:00:00,2000-12-08 00:00:00,179.0,-1857.95556640625,9980.75
2000-12-04 00:00:00,2000-12-08 00:00:00,180.0,594.04443359375,9980.75
2000-12-04 00:00:00,2000-12-08 00:00:00,181.0,-488.5916290283203,9980.75
2000-12-08 00:00:00,2000-12-11 00:00:00,182.0,-156.25,10028.375
2000-12-05 00:00:00,2000-12-11 00:00:00,183.0,247.4210968017578,9920.253295898438
2000-12-05 00:00:00,2000-12-11 00:00:00,184.0,-711.2886428833008,10058.034591674805
2000-12-05 00:00:00,2000-12-11 00:00:00,185.0,373.7845916748047,10058.034591674805
2000-12-12 00:00:00,2000-12-21 00:00:00,186.0,362.2259101867676,10026.0
2000-12-19 00:00:00,2000-12-29 00:00:00,187.0,2089.7462463378906,10032.75
2000-12-19 00:00:00,2001-01-12 00:00:00,188.0,-366.38206481933594,10032.75
2001-02-05 00:00:00,2001-02-06 00:00:00,190.0,-288.14011001586914,10012.200225830078
2001-02-27 00:00:00,2001-02-28 00:00:00,192.0,-979.6460418701172,10013.25
2001-03-27 00:00:00,2001-03-30 00:00:00,193.0,-990.1558456420898,10053.400131225586
2001-03-26 00:00:00,2001-03-30 00:00:00,194.0,-1510.734031677246,10058.940238952637
2001-05-07 00:00:00,2001-05-11 00:00:00,196.0,90.28975677490234,10021.940048217773
2001-05-22 00:00:00,2001-06-01 00:00:00,197.0,272.89995193481445,9959.800231933594
2001-06-19 00:00:00,2001-06-22 00:00:00,198.0,-423.37979888916016,10058.770202636719
2001-06-25 00:00:00,2001-06-27 00:00:00,199.0,-291.14015197753906,10034.70012664795
2001-06-25 00:00:00,2001-06-29 00:00:00,200.0,307.3403549194336,10034.70012664795
2001-06-27 00:00:00,2001-07-06 00:00:00,201.0,698.6497497558594,10004.0
2001-08-01 00:00:00,2001-08-02 00:00:00,202.0,-53.67961120605469,10104.860275268555
2001-07-30 00:00:00,2001-08-03 00:00:00,203.0,-670.7604312896729,10043.0
2001-07-31 00:00:00,2001-08-06 00:00:00,204.0,-289.6200714111328,10001.540100097656
2001-08-27 00:00:00,2001-08-29 00:00:00,205.0,-159.699951171875,10053.799896240234
2001-08-22 00:00:00,2001-08-29 00:00:00,206.0,10.190330505371094,10058.559921264648
2001-08-29 00:00:00,2001-08-31 00:00:00,207.0,212.09959030151367,9991.949867248535
2001-08-27 00:00:00,2001-08-31 00:00:00,208.0,623.6697692871094,9935.519897460938
2001-09-17 00:00:00,2001-09-20 00:00:00,210.0,816.8601341247559,10015.68017578125
2001-10-03 00:00:00,2001-10-09 00:00:00,211.0,-235.9095458984375,10070.970085144043
2001-10-04 00:00:00,2001-10-09 00:00:00,212.0,-203.64046478271484,10081.5
2001-11-01 00:00:00,2001-11-06 00:00:00,213.0,-888.2099876403809,10084.920227050781
2001-11-28 00:00:00,2001-11-29 00:00:00,214.0,-373.8221321105957,10002.256225585938
2001-11-27 00:00:00,2001-11-30 00:00:00,215.0,129.42981338500977,9982.37981414795
2001-12-12 00:00:00,2001-12-13 00:00:00,217.0,-101.05971908569336,10097.049728393555
2001-12-10 00:00:00,2001-12-14 00:00:00,218.0,-125.30985260009766,9996.300132751465
2001-12-27 00:00:00,2001-12-31 00:00:00,219.0,-259.3601837158203,10000.940078735352
2002-01-15 00:00:00,2002-01-16 00:00:00,220.0,-43.63938522338867,10058.400268554688
2002-01-23 00:00:00,2002-01-29 00:00:00,221.0,441.0295867919922,10000.319946289062
2002-01-23 00:00:00,2002-01-31 00:00:00,222.0,-296.53995513916016,10000.319946289062
2002-02-06 00:00:00,2002-02-08 00:00:00,223.0,26.060707092285156,10002.240112304688
2002-05-02 00:00:00,2002-05-03 00:00:00,224.0,-201.28091430664062,9991.19985961914
2002-05-09 00:00:00,2002-05-10 00:00:00,225.0,89.65023803710938,10041.21011352539
2002-05-13 00:00:00,2002-05-14 00:00:00,226.0,-303.8396224975586,10085.040252685547
2002-05-13 00:00:00,2002-05-14 00:00:00,227.0,-144.79946899414062,10085.040252685547
2002-06-20 00:00:00,2002-06-25 00:00:00,228.0,346.8005790710449,10047.000122070312
2002-07-12 00:00:00,2002-07-16 00:00:00,229.0,58.70713806152344,9989.086753845215
2002-07-09 00:00:00,2002-07-19 00:00:00,230.0,-4.549579620361328,10080.0
2002-07-09 00:00:00,2002-07-19 00:00:00,231.0,856.7504920959473,10080.0
2002-07-09 00:00:00,2002-07-19 00:00:00,232.0,1140.360019683838,10080.0
2002-07-09 00:00:00,2002-07-19 00:00:00,233.0,1486.6003379821777,10080.0
2002-07-09 00:00:00,2002-07-19 00:00:00,234.0,1670.560302734375,9984.0
2002-07-09 00:00:00,2002-07-19 00:00:00,235.0,2200.799819946289,9984.0
2002-07-09 00:00:00,2002-07-19 00:00:00,236.0,126.8499755859375,10080.0
2002-07-24 00:00:00,2002-07-24 00:00:00,237.0,-51.37522888183594,10028.72518157959
2002-08-07 00:00:00,2002-08-13 00:00:00,238.0,-480.49828147888184,10080.221603393555
2002-08-14 00:00:00,2002-08-20 00:00:00,239.0,541.3959484100342,10027.476013183594
