,Date,EPS,Cons.,Cons..1,Surprise,Revs,Ticker,Market Cap,Sector,BeforeOpen,NormDate
4,2013-10-28,1.18,$1.13,$36.84B,0.05,$37.5B,AAPL,"159,229,281.64",Information Technology,False,2013-10-29
5,2013-07-23,1.07,$1.05,$35.01B,0.02,$35.3B,AAPL,"159,229,281.64",Information Technology,False,2013-07-24
6,2013-04-23,1.44,$1.44,$42.59B,0.0,$43.6B,AAPL,"159,229,281.64",Information Technology,False,2013-04-24
7,2013-01-23,1.97,$1.92,$54.73B,0.05,$54.51B,AAPL,"159,229,281.64",Information Technology,False,2013-01-24
8,2012-10-25,1.24,$1.25,$35.8B,-0.01,$36B,AAPL,"159,229,281.64",Information Technology,False,2012-10-26
9,2012-07-24,1.33,$1.48,$37.18B,-0.15,$35B,AAPL,"159,229,281.64",Information Technology,False,2012-07-25
10,2012-04-24,1.76,$1.44,$36.81B,0.32,$39.2B,AAPL,"159,229,281.64",Information Technology,False,2012-04-25
11,2012-01-24,1.98,$1.44,$38.85B,0.54,$46.33B,AAPL,"159,229,281.64",Information Technology,False,2012-01-25
12,2011-10-18,1.01,$1.04,$29.45B,-0.03,$28.3B,AAPL,"159,229,281.64",Information Technology,False,2011-10-19
13,2011-07-19,1.11,$0.83,$24.92B,0.28,$28.6B,AAPL,"159,229,281.64",Information Technology,False,2011-07-20
14,2011-04-20,0.91,$0.76,$23.27B,0.15,$24.67B,AAPL,"159,229,281.64",Information Technology,False,2011-04-21
15,2011-01-18,0.92,$0.77,$24.34B,0.15,$26.74B,AAPL,"159,229,281.64",Information Technology,False,2011-01-19
4,2013-10-24,0.62,$0.55,$17.83B,0.07,$18.53B,MSFT,"120,980,732.16",Information Technology,False,2013-10-25
5,2013-07-18,0.66,$0.75,$20.73B,-0.09,$19.9B,MSFT,"120,980,732.16",Information Technology,False,2013-07-19
6,2013-04-18,0.72,$0.68,$20.56B,0.04,$20.49B,MSFT,"120,980,732.16",Information Technology,False,2013-04-19
7,2013-01-24,0.76,$0.75,$21.53B,0.01,$21.46B,MSFT,"120,980,732.16",Information Technology,False,2013-01-25
8,2012-10-18,0.53,$0.56,$16.42B,-0.03,$16.01B,MSFT,"120,980,732.16",Information Technology,False,2012-10-19
9,2012-07-19,0.73,$0.62,$18.14B,0.11,$18.06B,MSFT,"120,980,732.16",Information Technology,False,2012-07-20
10,2012-04-19,0.6,$0.58,$17.18B,0.02,$17.41B,MSFT,"120,980,732.16",Information Technology,False,2012-04-20
11,2012-01-19,0.78,$0.76,$20.93B,0.02,$20.89B,MSFT,"120,980,732.16",Information Technology,False,2012-01-20
12,2011-10-20,0.68,$0.68,$17.25B,0.0,$17.37B,MSFT,"120,980,732.16",Information Technology,False,2011-10-21
13,2011-07-21,0.69,$0.58,$17.25B,0.11,$17.37B,MSFT,"120,980,732.16",Information Technology,False,2011-07-22
14,2011-04-28,0.61,$0.56,$16.2B,0.05,$16.43B,MSFT,"120,980,732.16",Information Technology,False,2011-04-29
15,2011-01-27,0.77,$0.68,$19.14B,0.09,$19.95B,MSFT,"120,980,732.16",Information Technology,False,2011-01-28
4,2013-10-31,1.79,$1.77,$107.4B,0.02,$112.4B,XOM,"97,733,864.80",Energy,True,2013-10-31
5,2013-08-01,1.55,$1.90,$105.54B,-0.35,$106.5B,XOM,"97,733,864.80",Energy,True,2013-08-01
6,2013-04-25,2.12,$2.05,$119.83B,0.07,$108.81B,XOM,"97,733,864.80",Energy,True,2013-04-25
7,2013-02-01,2.2,$2.00,$115.22B,0.2,$115.17B,XOM,"97,733,864.80",Energy,True,2013-02-01
8,2012-11-01,2.09,$1.96,$112.4B,0.13,$115.71B,XOM,"97,733,864.80",Energy,True,2012-11-01
9,2012-07-26,3.46,$1.95,$115.08B,1.51,$127.36B,XOM,"97,733,864.80",Energy,True,2012-07-26
10,2012-04-26,2.0,$2.09,$124.76B,-0.09,$124.05B,XOM,"97,733,864.80",Energy,True,2012-04-26
11,2012-01-31,1.97,$1.96,$119.7B,0.01,$121.6B,XOM,"97,733,864.80",Energy,True,2012-01-31
12,2011-10-27,2.13,$2.13,$113.56B,0.0,$125.33B,XOM,"97,733,864.80",Energy,True,2011-10-27
13,2011-07-28,2.18,$2.33,$121.39B,-0.15,$125.49B,XOM,"97,733,864.80",Energy,True,2011-07-28
14,2011-04-28,2.14,$2.06,$114.85B,0.08,$114B,XOM,"97,733,864.80",Energy,True,2011-04-28
15,2011-01-31,1.85,$1.62,$99.11B,0.23,$105.19B,XOM,"97,733,864.80",Energy,True,2011-01-31
4,2013-10-15,1.36,$1.32,$17.46B,0.04,$17.6B,JNJ,"88,050,140.20",Health Care,True,2013-10-15
5,2013-07-16,1.48,$1.39,$17.71B,0.09,$17.9B,JNJ,"88,050,140.20",Health Care,True,2013-07-16
6,2013-04-16,1.44,$1.41,$17.46B,0.03,$17.5B,JNJ,"88,050,140.20",Health Care,True,2013-04-16
7,2013-01-22,1.19,$1.17,$17.67B,0.02,$17.6B,JNJ,"88,050,140.20",Health Care,True,2013-01-22
8,2012-10-16,1.25,$1.21,$16.95B,0.04,$17.1B,JNJ,"88,050,140.20",Health Care,True,2012-10-16
9,2012-07-17,1.3,$1.30,$16.7B,0.0,$16.5B,JNJ,"88,050,140.20",Health Care,True,2012-07-17
10,2012-04-17,1.37,$1.35,$16.26B,0.02,$16.1B,JNJ,"88,050,140.20",Health Care,True,2012-04-17
11,2012-01-24,1.13,$1.10,$16.29B,0.03,$16.3B,JNJ,"88,050,140.20",Health Care,True,2012-01-24
12,2011-10-18,1.24,$1.21,$16.02B,0.03,$16B,JNJ,"88,050,140.20",Health Care,True,2011-10-18
13,2011-07-19,1.28,$1.23,$16.22B,0.05,$16.6B,JNJ,"88,050,140.20",Health Care,True,2011-07-19
14,2011-04-19,1.35,$1.26,$15.83B,0.09,$16.2B,JNJ,"88,050,140.20",Health Care,True,2011-04-19
15,2011-01-25,1.03,$1.03,$16.08B,0.0,$15.6B,JNJ,"88,050,140.20",Health Care,True,2011-01-25
4,2013-10-11,1.42,$1.30,$24.14B,0.12,$23.9B,JPM,"79,545,699.99",Financials,True,2013-10-11
5,2013-07-12,1.6,$1.44,$24.84B,0.16,$25.2B,JPM,"79,545,699.99",Financials,True,2013-07-12
6,2013-04-12,1.59,$1.37,$25.87B,0.22,$25.1B,JPM,"79,545,699.99",Financials,True,2013-04-12
7,2013-01-16,1.39,$1.16,$24.56B,0.23,$24.4B,JPM,"79,545,699.99",Financials,True,2013-01-16
8,2012-10-12,1.4,$1.17,$24.07B,0.23,$25.9B,JPM,"79,545,699.99",Financials,True,2012-10-12
9,2012-07-13,1.21,$0.72,$21.93B,0.49,$22.89B,JPM,"79,545,699.99",Financials,True,2012-07-13
10,2012-04-13,1.31,$1.12,$24.37B,0.19,$26.7B,JPM,"79,545,699.99",Financials,True,2012-04-13
11,2012-01-13,0.9,$0.90,$23.05B,0.0,$22.2B,JPM,"79,545,699.99",Financials,True,2012-01-13
12,2011-10-13,1.02,$0.96,$23.73B,0.06,$24.4B,JPM,"79,545,699.99",Financials,True,2011-10-13
13,2011-07-14,1.27,$1.21,$25.13B,0.06,$26.78B,JPM,"79,545,699.99",Financials,True,2011-07-14
14,2011-04-13,1.28,$1.16,$25.48B,0.12,$25.8B,JPM,"79,545,699.99",Financials,True,2011-04-13
15,2011-01-14,1.12,$0.99,$24.44B,0.13,$26.1B,JPM,"79,545,699.99",Financials,True,2011-01-14
4,2013-10-18,0.36,$0.37,$38.84B,-0.01,$35.7B,GE,"77,164,580.07",Industrials,True,2013-10-18
5,2013-07-19,0.36,$0.35,$35.58B,0.01,$35.12B,GE,"77,164,580.07",Industrials,True,2013-07-19
6,2013-04-19,0.39,$0.35,$34.7B,0.04,$35.01B,GE,"77,164,580.07",Industrials,True,2013-04-19
7,2013-01-18,0.44,$0.43,$38.71B,0.01,$39.3B,GE,"77,164,580.07",Industrials,True,2013-01-18
8,2012-10-19,0.36,$0.36,$36.81B,0.0,$36.3B,GE,"77,164,580.07",Industrials,True,2012-10-19
9,2012-07-20,0.38,$0.37,$36.86B,0.01,$36.5B,GE,"77,164,580.07",Industrials,True,2012-07-20
10,2012-04-20,0.34,$0.33,$34.66B,0.01,$35.2B,GE,"77,164,580.07",Industrials,True,2012-04-20
11,2012-01-20,0.39,$0.38,$40.03B,0.01,$37.97B,GE,"77,164,580.07",Industrials,True,2012-01-20
12,2011-10-21,0.31,$0.31,$34.94B,0.0,$35.37B,GE,"77,164,580.07",Industrials,True,2011-10-21
13,2011-07-22,0.34,$0.32,$34.72B,0.02,$35.63B,GE,"77,164,580.07",Industrials,True,2011-07-22
14,2011-04-21,0.33,$0.28,$34.64B,0.05,$38.45B,GE,"77,164,580.07",Industrials,True,2011-04-21
15,2011-01-21,0.36,$0.32,$39.9B,0.04,$41.38B,GE,"77,164,580.07",Industrials,True,2011-01-21
4,2013-10-24,-0.09,-$0.09,$16.77B,0.0,$17.09B,AMZN,"76,859,954.16",Consumer Discretionary,False,2013-10-25
5,2013-07-25,-0.08,$0.05,$15.73B,-0.13,$15.7B,AMZN,"76,859,954.16",Consumer Discretionary,False,2013-07-26
6,2013-04-25,0.18,$0.09,$16.17B,0.09,$16.07B,AMZN,"76,859,954.16",Consumer Discretionary,False,2013-04-26
7,2013-01-29,0.21,$0.27,$22.27B,-0.06,$21.27B,AMZN,"76,859,954.16",Consumer Discretionary,False,2013-01-30
8,2012-10-25,-0.6,-$0.08,$13.92B,-0.52,$13.81B,AMZN,"76,859,954.16",Consumer Discretionary,False,2012-10-26
9,2012-07-26,0.01,$0.02,$12.89B,-0.01,$12.83B,AMZN,"76,859,954.16",Consumer Discretionary,False,2012-07-27
10,2012-04-26,0.28,$0.07,$12.9B,0.21,$13.2B,AMZN,"76,859,954.16",Consumer Discretionary,False,2012-04-27
11,2012-01-31,0.38,$0.19,$18.2B,0.19,$17.4B,AMZN,"76,859,954.16",Consumer Discretionary,False,2012-02-01
12,2011-10-25,0.14,$0.24,$10.93B,-0.1,$10.9B,AMZN,"76,859,954.16",Consumer Discretionary,False,2011-10-26
13,2011-07-26,0.41,$0.35,$9.37B,0.06,$9.9B,AMZN,"76,859,954.16",Consumer Discretionary,False,2011-07-27
14,2011-04-26,0.44,$0.61,$9.52B,-0.17,$9.86B,AMZN,"76,859,954.16",Consumer Discretionary,False,2011-04-27
15,2011-01-27,0.91,$0.88,$12.98B,0.03,$12.9B,AMZN,"76,859,954.16",Consumer Discretionary,False,2011-01-28
4,2013-10-30,0.25,$0.19,$1.91B,0.06,$2.02B,FB,"70,967,879.64",Information Technology,False,2013-10-31
5,2013-07-24,0.19,$0.14,$1.62B,0.05,$1.18B,FB,"70,967,879.64",Information Technology,False,2013-07-25
6,2013-05-01,0.12,$0.13,$1.44B,-0.01,$1.46B,FB,"70,967,879.64",Information Technology,False,2013-05-02
7,2013-01-30,0.17,$0.15,$1.52B,0.02,$1.59B,FB,"70,967,879.64",Information Technology,False,2013-01-31
8,2012-10-23,0.12,$0.11,$1.23B,0.01,$1.62B,FB,"70,967,879.64",Information Technology,False,2012-10-24
9,2012-07-26,0.12,$0.12,$1.15B,0.0,$1.18B,FB,"70,967,879.64",Information Technology,False,2012-07-27
4,2013-10-11,0.99,$0.97,$21B,0.02,$20.5B,WFC,"66,833,835.66",Financials,True,2013-10-11
5,2013-07-12,0.98,$0.93,$21.21B,0.05,$21.4B,WFC,"66,833,835.66",Financials,True,2013-07-12
7,2013-01-11,0.91,$0.90,$21.29B,0.01,$21.9B,WFC,"66,833,835.66",Financials,True,2013-01-11
8,2012-10-12,0.88,$0.87,$21.47B,0.01,$21.2B,WFC,"66,833,835.66",Financials,True,2012-10-12
9,2012-07-13,0.82,$0.81,$21.32B,0.01,$21.29B,WFC,"66,833,835.66",Financials,True,2012-07-13
10,2012-04-13,0.75,$0.72,$20.24B,0.03,$21.64B,WFC,"66,833,835.66",Financials,True,2012-04-13
11,2012-01-17,0.73,$0.72,$20.08B,0.01,$20.61B,WFC,"66,833,835.66",Financials,True,2012-01-17
12,2011-10-17,0.72,$0.72,$20.22B,0.0,$19.6B,WFC,"66,833,835.66",Financials,True,2011-10-17
13,2011-07-19,0.7,$0.69,$20.46B,0.01,$20.4B,WFC,"66,833,835.66",Financials,True,2011-07-19
14,2011-04-20,0.67,$0.66,$21.24B,0.01,$20.3B,WFC,"66,833,835.66",Financials,True,2011-04-20
15,2011-01-19,0.61,$0.61,$21B,0.0,$21.5B,WFC,"66,833,835.66",Financials,True,2011-01-19
4,2013-10-23,0.66,$0.66,$32.16B,0.0,$32.16B,T,"61,174,485.01",Telecommunications,False,2013-10-24
5,2013-07-23,0.67,$0.68,$31.81B,-0.01,$32.1B,T,"61,174,485.01",Telecommunications,False,2013-07-24
6,2013-04-23,0.64,$0.64,$31.74B,0.0,$31.36B,T,"61,174,485.01",Telecommunications,False,2013-04-24
7,2013-01-24,0.44,$0.46,$32.21B,-0.02,$32.6B,T,"61,174,485.01",Telecommunications,False,2013-01-25
8,2012-10-24,0.63,$0.62,$31.52B,0.01,$31.5B,T,"61,174,485.01",Telecommunications,False,2012-10-25
9,2012-07-24,0.66,$0.63,$31.72B,0.03,$31.6B,T,"61,174,485.01",Telecommunications,False,2012-07-25
10,2012-04-24,0.6,$0.57,$31.85B,0.03,$31.8B,T,"61,174,485.01",Telecommunications,False,2012-04-25
11,2012-01-26,0.42,$0.43,$31.95B,-0.01,$32.5B,T,"61,174,485.01",Telecommunications,False,2012-01-27
12,2011-10-20,0.61,$0.61,$31.62B,0.0,$31.48B,T,"61,174,485.01",Telecommunications,False,2011-10-21
13,2011-07-21,0.6,$0.60,$31.33B,0.0,$31.5B,T,"61,174,485.01",Telecommunications,False,2011-07-22
14,2011-04-20,0.58,$0.57,$31.27B,0.01,$31.25B,T,"61,174,485.01",Telecommunications,False,2011-04-21
15,2011-01-27,0.55,$0.54,$31.47B,0.01,$31.4B,T,"61,174,485.01",Telecommunications,False,2011-01-28
4,2013-10-17,10.74,$10.34,$14.79B,0.4,$14.89B,GOOG,"60,025,115.76",Information Technology,False,2013-10-18
5,2013-07-18,9.56,$10.78,$14.42B,-1.22,$14.11B,GOOG,"60,025,115.76",Information Technology,False,2013-07-19
6,2013-04-18,11.58,$10.69,$14.04B,0.89,$13.97B,GOOG,"60,025,115.76",Information Technology,False,2013-04-19
7,2013-01-22,10.65,$10.52,$12.36B,0.13,$12.16B,GOOG,"60,025,115.76",Information Technology,False,2013-01-23
8,2012-10-18,9.03,$10.65,$11.86B,-1.62,$11.33B,GOOG,"60,025,115.76",Information Technology,False,2012-10-19
9,2012-07-19,10.12,$10.04,$8.45B,0.08,$9.61B,GOOG,"60,025,115.76",Information Technology,False,2012-07-20
10,2012-04-12,10.08,$9.65,$8.15B,0.43,$8.14B,GOOG,"60,025,115.76",Information Technology,False,2012-04-13
11,2012-01-19,9.5,$10.49,$8.4B,-0.99,$8.13B,GOOG,"60,025,115.76",Information Technology,False,2012-01-20
12,2011-10-13,9.72,$8.74,$7.19B,0.98,$7.51B,GOOG,"60,025,115.76",Information Technology,False,2011-10-14
13,2011-07-14,8.74,$7.86,$6.54B,0.88,$6.92B,GOOG,"60,025,115.76",Information Technology,False,2011-07-15
14,2011-04-14,8.08,$8.13,$6.32B,-0.05,$6.54B,GOOG,"60,025,115.76",Information Technology,False,2011-04-15
15,2011-01-20,8.75,$8.07,$6.05B,0.68,$6.37B,GOOG,"60,025,115.76",Information Technology,False,2011-01-21
4,2013-10-25,1.05,$1.06,$21.09B,-0.01,$21.21B,PG,"58,381,536.00",Consumer Staples,True,2013-10-25
5,2013-08-01,0.79,$0.77,$20.56B,0.02,$20.66B,PG,"58,381,536.00",Consumer Staples,True,2013-08-01
6,2013-04-24,0.99,$0.96,$20.74B,0.03,$20.6B,PG,"58,381,536.00",Consumer Staples,True,2013-04-24
7,2013-01-25,1.22,$1.11,$21.88B,0.11,$22.18B,PG,"58,381,536.00",Consumer Staples,True,2013-01-25
8,2012-10-25,0.96,$0.96,$20.7B,0.0,$20.7B,PG,"58,381,536.00",Consumer Staples,True,2012-10-25
9,2012-08-03,0.82,$0.77,$20.26B,0.05,$20.2B,PG,"58,381,536.00",Consumer Staples,True,2012-08-03
10,2012-04-27,0.94,$0.93,$20.3B,0.01,$20.2B,PG,"58,381,536.00",Consumer Staples,True,2012-04-27
11,2012-01-27,1.1,$1.08,$22.19B,0.02,$22.1B,PG,"58,381,536.00",Consumer Staples,True,2012-01-27
12,2011-10-27,1.03,$1.03,$21.56B,0.0,$21.9B,PG,"58,381,536.00",Consumer Staples,True,2011-10-27
13,2011-08-05,0.84,$0.82,$20.63B,0.02,$20.9B,PG,"58,381,536.00",Consumer Staples,True,2011-08-05
14,2011-04-28,0.96,$0.97,$20.29B,-0.01,$20.2B,PG,"58,381,536.00",Consumer Staples,True,2011-04-28
15,2011-01-27,1.13,$1.10,$21.57B,0.03,$21.3B,PG,"58,381,536.00",Consumer Staples,True,2011-01-27
4,2013-10-16,0.2,$0.19,$22.11B,0.01,$22.19B,BAC,"56,718,088.48",Financials,True,2013-10-16
5,2013-07-17,0.32,$0.25,$22.61B,0.07,$22.95B,BAC,"56,718,088.48",Financials,True,2013-07-17
6,2013-04-17,0.2,$0.23,$23.5B,-0.03,$23.7B,BAC,"56,718,088.48",Financials,True,2013-04-17
7,2013-01-17,0.03,$0.20,$22.4B,-0.17,$22.6B,BAC,"56,718,088.48",Financials,True,2013-01-17
8,2012-10-17,0.0,-$0.07,$21.89B,0.07,$22.53B,BAC,"56,718,088.48",Financials,True,2012-10-17
9,2012-07-18,0.19,$0.15,$22.87B,0.04,$21.97B,BAC,"56,718,088.48",Financials,True,2012-07-18
10,2012-04-19,0.31,$0.11,$22.51B,0.2,$22.49B,BAC,"56,718,088.48",Financials,True,2012-04-19
11,2012-01-19,0.15,$0.15,$24.08B,0.0,$24.89B,BAC,"56,718,088.48",Financials,True,2012-01-19
12,2011-10-18,0.56,$0.20,$25.95B,0.36,$28.45B,BAC,"56,718,088.48",Financials,True,2011-10-18
13,2011-07-19,0.33,$0.29,$12.34B,0.04,$13.2B,BAC,"56,718,088.48",Financials,True,2011-07-19
14,2011-04-15,0.17,$0.27,$26.69B,-0.1,$27.1B,BAC,"56,718,088.48",Financials,True,2011-04-15
15,2011-01-21,0.04,$0.14,$24.87B,-0.1,$22.67B,BAC,"56,718,088.48",Financials,True,2011-01-21
4,2013-11-01,2.57,$2.00,$58.41B,0.57,$58.5B,CVX,"55,069,190.55",Energy,True,2013-11-01
5,2013-08-02,2.77,$3.03,$56.12B,-0.26,$55.31B,CVX,"55,069,190.55",Energy,True,2013-08-02
6,2013-04-26,3.18,$3.06,$59B,0.12,$54B,CVX,"55,069,190.55",Energy,True,2013-04-26
7,2013-02-01,3.7,$3.00,$66.81B,0.7,$60.55B,CVX,"55,069,190.55",Energy,True,2013-02-01
8,2012-11-02,2.69,$3.02,$63.8B,-0.33,$58.04B,CVX,"55,069,190.55",Energy,True,2012-11-02
9,2012-07-27,3.66,$3.24,$68.56B,0.42,$62.61B,CVX,"55,069,190.55",Energy,True,2012-07-27
10,2012-04-27,3.27,$3.07,$72.51B,0.2,$60.71B,CVX,"55,069,190.55",Energy,True,2012-04-27
11,2011-10-28,3.92,$3.44,$67.93B,0.48,$61.3B,CVX,"55,069,190.55",Energy,True,2011-10-28
12,2012-01-27,2.58,$2.85,$70.96B,-0.27,$58.03B,CVX,"55,069,190.55",Energy,True,2012-01-27
13,2011-07-29,3.94,$3.56,$71.58B,0.38,$66.7B,CVX,"55,069,190.55",Energy,True,2011-07-29
14,2011-04-29,3.28,$3.04,$66.62B,0.24,$58B,CVX,"55,069,190.55",Energy,True,2011-04-29
15,2011-01-28,2.64,$2.40,$55.97B,0.24,$54.03B,CVX,"55,069,190.55",Energy,True,2011-01-28
4,2013-10-29,0.58,$0.56,$12.69B,0.02,$12.64B,PFE,"53,471,522.50",Health Care,True,2013-10-29
5,2013-07-30,0.56,$0.55,$13.02B,0.01,$12.97B,PFE,"53,471,522.50",Health Care,True,2013-07-30
6,2013-04-30,0.54,$0.55,$14.1B,-0.01,$13.5B,PFE,"53,471,522.50",Health Care,True,2013-04-30
7,2013-01-29,0.47,$0.44,$14.4B,0.03,$15.1B,PFE,"53,471,522.50",Health Care,True,2013-01-29
8,2012-11-01,0.53,$0.53,$14.64B,0.0,$14B,PFE,"53,471,522.50",Health Care,True,2012-11-01
9,2012-07-31,0.62,$0.54,$14.9B,0.08,$15.1B,PFE,"53,471,522.50",Health Care,True,2012-07-31
10,2012-05-01,0.58,$0.56,$15.47B,0.02,$15.4B,PFE,"53,471,522.50",Health Care,True,2012-05-01
11,2012-01-31,0.5,$0.47,$16.61B,0.03,$16.7B,PFE,"53,471,522.50",Health Care,True,2012-01-31
12,2011-11-01,0.62,$0.55,$16.43B,0.07,$3.74B,PFE,"53,471,522.50",Health Care,True,2011-11-01
13,2011-08-02,0.6,$0.59,$16.98B,0.01,$16.98B,PFE,"53,471,522.50",Health Care,True,2011-08-02
14,2011-05-03,0.6,$0.59,$16.65B,0.01,$16.5B,PFE,"53,471,522.50",Health Care,True,2011-05-03
15,2011-02-01,0.47,$0.46,$16.97B,0.01,$17.56B,PFE,"53,471,522.50",Health Care,True,2011-02-01
4,2013-10-17,0.77,$0.75,$30.17B,0.02,$30.28B,VZ,"51,788,884.26",Telecommunications,True,2013-10-17
5,2013-07-18,0.73,$0.73,$29.83B,0.0,$27.79B,VZ,"51,788,884.26",Telecommunications,True,2013-07-18
6,2013-04-18,0.68,$0.65,$29.56B,0.03,$29.4B,VZ,"51,788,884.26",Telecommunications,True,2013-04-18
7,2013-01-22,0.38,$0.52,$29.75B,-0.14,$30.05B,VZ,"51,788,884.26",Telecommunications,True,2013-01-22
8,2012-10-18,0.64,$0.65,$28.99B,-0.01,$29.01B,VZ,"51,788,884.26",Telecommunications,True,2012-10-18
9,2012-07-19,0.64,$0.64,$28.56B,0.0,$28.55B,VZ,"51,788,884.26",Telecommunications,True,2012-07-19
10,2012-04-19,0.59,$0.58,$28.17B,0.01,$28.2B,VZ,"51,788,884.26",Telecommunications,True,2012-04-19
11,2012-01-24,0.52,$0.53,$28.39B,-0.01,$28.44B,VZ,"51,788,884.26",Telecommunications,True,2012-01-24
12,2011-10-21,0.56,$0.56,$27.88B,0.0,$27.9B,VZ,"51,788,884.26",Telecommunications,True,2011-10-21
13,2011-07-22,0.57,$0.55,$27.43B,0.02,$27.54B,VZ,"51,788,884.26",Telecommunications,True,2011-07-22
14,2011-04-21,0.51,$0.50,$26.89B,0.01,$27B,VZ,"51,788,884.26",Telecommunications,True,2011-04-21
15,2011-01-25,0.54,$0.55,$26.47B,-0.01,$26.4B,VZ,"51,788,884.26",Telecommunications,True,2011-01-25
4,2013-10-28,0.92,$0.87,$11.19B,0.05,$11.03B,MRK,"48,368,756.09",Health Care,True,2013-10-28
5,2013-07-30,0.84,$0.82,$11.22B,0.02,$11.01B,MRK,"48,368,756.09",Health Care,True,2013-07-30
6,2013-05-01,0.85,$0.79,$11.09M,0.06,$10.7M,MRK,"48,368,756.09",Health Care,True,2013-05-01
7,2013-02-01,0.83,$0.81,$11.46B,0.02,$11.7B,MRK,"48,368,756.09",Health Care,True,2013-02-01
8,2012-10-26,0.95,$0.92,$11.6B,0.03,$11.5B,MRK,"48,368,756.09",Health Care,True,2012-10-26
9,2012-07-27,1.05,$1.01,$12.16B,0.04,$12.2B,MRK,"48,368,756.09",Health Care,True,2012-07-27
10,2012-04-27,0.99,$0.97,$11.82B,0.02,$11.73B,MRK,"48,368,756.09",Health Care,True,2012-04-27
11,2012-02-02,0.97,$0.95,$12.53B,0.02,$12.29B,MRK,"48,368,756.09",Health Care,True,2012-02-02
12,2011-10-28,0.94,$0.91,$11.61B,0.03,$12M,MRK,"48,368,756.09",Health Care,True,2011-10-28
13,2011-07-29,0.95,$0.95,$11.78M,0.0,$12.2B,MRK,"48,368,756.09",Health Care,True,2011-07-29
14,2011-04-29,0.92,$0.84,$11.37B,0.08,$11.58B,MRK,"48,368,756.09",Health Care,True,2011-04-29
15,2011-02-03,0.88,$0.83,$11.53B,0.05,$12.1B,MRK,"48,368,756.09",Health Care,True,2011-02-03
4,2013-10-15,0.58,$0.54,$13.47B,0.04,$13.48B,INTC,"44,782,658.48",Information Technology,False,2013-10-16
5,2013-07-17,0.39,$0.39,$12.89B,0.0,$12.8B,INTC,"44,782,658.48",Information Technology,False,2013-07-18
6,2013-04-16,0.4,$0.41,$12.61B,-0.01,$12.6B,INTC,"44,782,658.48",Information Technology,False,2013-04-17
7,2013-01-17,0.48,$0.45,$13.76B,0.03,$13.5B,INTC,"44,782,658.48",Information Technology,False,2013-01-18
8,2012-10-16,0.6,$0.50,$13.23B,0.1,$13.5B,INTC,"44,782,658.48",Information Technology,False,2012-10-17
9,2012-07-17,0.54,$0.52,$13.56B,0.02,$13.5B,INTC,"44,782,658.48",Information Technology,False,2012-07-18
10,2012-04-17,0.56,$0.50,$12.84B,0.06,$12.9B,INTC,"44,782,658.48",Information Technology,False,2012-04-18
11,2012-01-19,0.64,$0.61,$13.72B,0.03,$13.98B,INTC,"44,782,658.48",Information Technology,False,2012-01-20
12,2011-10-18,0.69,$0.61,$13.9B,0.08,$14.2B,INTC,"44,782,658.48",Information Technology,False,2011-10-19
13,2011-07-20,0.59,$0.51,$12.82B,0.08,$13.1B,INTC,"44,782,658.48",Information Technology,False,2011-07-21
14,2011-04-19,0.59,$0.46,$11.6B,0.13,$12.9B,INTC,"44,782,658.48",Information Technology,False,2011-04-20
15,2011-01-13,0.59,$0.53,$11.37B,0.06,$11.5B,INTC,"44,782,658.48",Information Technology,False,2011-01-14
4,2013-10-30,0.65,$0.61,$16.26B,0.04,$16.54M,CMCSA,"44,540,849.94",Consumer Discretionary,True,2013-10-30
5,2013-07-31,0.65,$0.63,$16.01B,0.02,$16.27B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2013-07-31
6,2013-05-01,0.51,$0.50,$15.46B,0.01,$15.31B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2013-05-01
7,2013-02-12,0.56,$0.53,$15.99B,0.03,$15.94B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2013-02-12
8,2012-10-26,0.46,$0.46,$16.06B,0.0,$16.54B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2012-10-26
9,2012-08-01,0.5,$0.48,$15.2B,0.02,$15.21B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2012-08-01
10,2012-05-02,0.45,$0.42,$14.43B,0.03,$14.9B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2012-05-02
11,2012-02-15,0.47,$0.41,$14.87B,0.06,$15.04B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2012-02-15
12,2011-11-02,0.38,$0.40,$14.24B,-0.02,$14.34B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2011-11-02
13,2011-08-03,0.42,$0.41,$13.83B,0.01,$14.33B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2011-08-03
14,2011-05-03,0.36,$0.34,$12.99B,0.02,$13.3B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2011-05-03
15,2011-02-16,0.35,$0.32,$9.58B,0.03,$9.72B,CMCSA,"44,540,849.94",Consumer Discretionary,True,2011-02-16
5,2013-10-15,1.02,$1.04,$18.73B,-0.02,$18.2B,C,"44,123,807.28",Financials,True,2013-10-15
6,2013-07-15,1.25,$1.18,$19.67B,0.07,$20.5B,C,"44,123,807.28",Financials,True,2013-07-15
7,2013-04-15,1.23,$1.18,$20.15B,0.05,$20.5B,C,"44,123,807.28",Financials,True,2013-04-15
