secid,date,ticker,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
207008,20150408,IGT,0,1,,0,820,19.49,20.24,20.18,19.89,5695995,,1,248667,1
207008,20150409,IGT,0,1,,0,820,19.555,20.5,19.94,20.48,4995093,0.029663,1,248667,1
207008,20150410,IGT,0,1,,0,820,20.25,20.945,20.5,20.25,6068417,-0.01123,1,248667,1
207008,20150413,IGT,0,1,,0,820,20.17,20.71,20.25,20.4,4402590,0.007407,1,220354,1
207008,20150414,IGT,0,1,,0,820,19.96,20.625,20.34,20.55,6385212,0.007353,1,0,1
207008,20150415,IGT,0,1,,0,820,20.1,20.55,20.55,20.32,4093539,-0.011192,1,0,1
207008,20150416,IGT,0,1,,0,820,18.73,20.28,20.24,19.18,7020549,-0.056102,1,0,1
207008,20150417,IGT,0,1,,0,820,18.15,19.7,18.96,19.57,4687070,0.020334,1,0,1
207008,20150420,IGT,0,1,,0,820,19.34,19.77,19.59,19.7,2165937,0.006643,1,0,1
207008,20150421,IGT,0,1,,0,820,19.33,19.92,19.67,19.9,1380485,0.010152,1,0,1
207008,20150422,IGT,0,1,,0,820,19.495,19.93,19.87,19.88,1892439,-0.001005,1,0,1
207008,20150423,IGT,0,1,,0,820,19.56,20.06,19.88,20,1415579,0.006036,1,0,1
207008,20150424,IGT,0,1,,0,820,19.78,20.25,20,20.21,1789825,0.0105,1,0,1
207008,20150427,IGT,0,1,,0,820,19.92,20.21,20.21,20.03,1613987,-0.008906,1,0,1
207008,20150428,IGT,0,1,,0,820,19.89,20.2,19.9,20.19,3496542,0.007988,1,0,1
207008,20150429,IGT,0,1,,0,820,19.95,20.36,19.98,20.36,2757034,0.00842,1,0,1
207008,20150430,IGT,0,1,,0,820,20.23,20.44,20.37,20.36,2384908,0,1,0,1
207008,20150501,IGT,0,1,,0,820,20.11,20.7785,20.28,20.75,1205318,0.019155,1,0,1
207008,20150504,IGT,0,1,,0,820,20.51,21.15,20.76,21.1,1470238,0.016867,1,0,1
207008,20150505,IGT,0,1,,0,820,20.56,21.23,21.06,21.05,1583741,-0.00237,1,0,1
207008,20150506,IGT,0,1,,0,820,20.68,21.17,21.13,20.93,1368864,-0.005701,1,0,1
207008,20150507,IGT,0,1,,0,820,20.89,21.2299,20.9,21.19,1270290,0.012422,1,0,1
207008,20150508,IGT,0,1,,0,820,20.39,21.16,21.15,20.72,1562804,-0.02218,1,0,1
207008,20150511,IGT,0,1,,0,820,20.28,20.88,20.57,20.72,1147352,0,1,0,1
207008,20150512,IGT,0,1,,0,820,20.39,20.72,20.6,20.54,1199061,-0.008687,1,0,1
207008,20150513,IGT,0,1,,0,820,19.14,19.99,19.93,19.35,3191780,-0.057936,1,0,1
207008,20150514,IGT,0,1,,0,820,18.12,19.57,19.39,18.28,2898655,-0.055297,1,0,1
207008,20150515,IGT,0,1,,0,820,18.29,18.89,18.46,18.38,1666358,0.00547,1,0,1
207008,20150518,IGT,0,1,,0,820,17.86,18.27,18.27,18.14,2239287,-0.013058,1,0,1
207008,20150519,IGT,0,1,,0,820,17.83,18.41,18.15,18.39,1841943,0.013782,1,0,1
207008,20150520,IGT,0,1,,0,820,18.04,18.43,18.43,18.12,672525,-0.014682,1,0,1
207008,20150521,IGT,0,1,,0,820,17.95,18.59,18.16,18.17,899520,0.002759,1,0,1
207008,20150522,IGT,0,1,,0,820,17.95,18.23,18.02,18.08,343238,-0.004953,1,0,1
207008,20150526,IGT,0,1,,0,820,17.29,18.4001,17.69,18.04,846642,-0.002212,1,0,1
207008,20150527,IGT,0,1,,0,820,17.89,18.55,18.01,18.38,805095,0.018847,1,0,1
207008,20150528,IGT,0,1,,0,820,18,18.5,18.32,18.38,1062076,0,1,198596,1
207008,20150529,IGT,0,1,,0,820,17.89,18.47,18.23,18.09,1566083,-0.015778,1,198596,1
207008,20150601,IGT,0,1,,0,820,17.81,18.15,18.07,17.96,916588,-0.007186,1,198596,1
207008,20150602,IGT,0,1,,0,820,17.66,18.13,17.94,17.72,825850,-0.013363,1,198596,1
207008,20150603,IGT,0,1,,0,820,17.59,18.02,17.72,17.87,698910,0.008465,1,198596,1
207008,20150604,IGT,0,1,,0,820,17.55,17.84,17.74,17.6,715151,-0.015109,1,198596,1
207008,20150605,IGT,0,1,,0,820,17.29,17.94,17.57,17.8,1138415,0.011364,1,198596,1
